,mae_copy,loss,nmse_train,nmse,mse,mae,lossv,nmse_test,nmsev,msev,maev
266611,4.12975098,0.00232692,0.00232692,0.00324761,0.01568565,0.08704092,0.00232625,0.00232625,0.00324634,0.01567687,0.08699840
266711,4.12976304,0.00232625,0.00232625,0.00324666,0.01567740,0.08701573,0.00232558,0.00232558,0.00324540,0.01566862,0.08697326
266811,4.12970831,0.00232557,0.00232557,0.00324573,0.01566910,0.08699076,0.00232491,0.00232491,0.00324446,0.01566033,0.08694831
266911,4.12970230,0.00232491,0.00232491,0.00324482,0.01566104,0.08696603,0.00232424,0.00232424,0.00324355,0.01565225,0.08692344
267011,4.12972126,0.00232424,0.00232424,0.00324392,0.01565395,0.08694124,0.00232358,0.00232358,0.00324266,0.01564517,0.08689869
267111,4.12969365,0.00232358,0.00232358,0.00324299,0.01564613,0.08691651,0.00232291,0.00232291,0.00324173,0.01563735,0.08687399
267211,4.12964712,0.00232293,0.00232293,0.00324212,0.01563815,0.08689187,0.00232226,0.00232226,0.00324086,0.01562938,0.08684938
267311,4.12969446,0.00232238,0.00232238,0.00324146,0.01563180,0.08687135,0.00232171,0.00232171,0.00324020,0.01562304,0.08682890
267411,4.12974033,0.00232171,0.00232171,0.00324051,0.01562353,0.08684666,0.00232105,0.00232105,0.00323924,0.01561478,0.08680425
267511,4.12974900,0.00232105,0.00232105,0.00323957,0.01561536,0.08682140,0.00232038,0.00232038,0.00323831,0.01560662,0.08677902
267611,4.12974003,0.00232039,0.00232039,0.00323866,0.01560729,0.08679718,0.00231972,0.00231972,0.00323740,0.01559855,0.08675484
267711,4.12970896,0.00231972,0.00231972,0.00323774,0.01559906,0.08677219,0.00231906,0.00231906,0.00323647,0.01559031,0.08672969
267811,4.12974152,0.00231906,0.00231906,0.00323682,0.01559102,0.08674714,0.00231839,0.00231839,0.00323555,0.01558228,0.08670468
267911,4.12969723,0.00231840,0.00231840,0.00323591,0.01558283,0.08672269,0.00231773,0.00231773,0.00323465,0.01557409,0.08668027
268011,4.12970325,0.00231773,0.00231773,0.00323500,0.01557476,0.08669786,0.00231707,0.00231707,0.00323373,0.01556603,0.08665548
268111,4.12975514,0.00231707,0.00231707,0.00323409,0.01556684,0.08667253,0.00231641,0.00231641,0.00323283,0.01555812,0.08663018
268211,4.12975848,0.00231641,0.00231641,0.00323315,0.01555864,0.08664804,0.00231575,0.00231575,0.00323189,0.01554993,0.08660572
268311,4.12974160,0.00231575,0.00231575,0.00323222,0.01555060,0.08662358,0.00231508,0.00231508,0.00323096,0.01554188,0.08658116
268411,4.12978008,0.00231508,0.00231508,0.00323131,0.01554243,0.08659881,0.00231442,0.00231442,0.00323005,0.01553372,0.08655643
268511,4.12980486,0.00231443,0.00231443,0.00323041,0.01553440,0.08657453,0.00231377,0.00231377,0.00322914,0.01552569,0.08653218
268611,4.12977942,0.00231377,0.00231377,0.00322950,0.01552639,0.08654986,0.00231311,0.00231311,0.00322824,0.01551769,0.08650754
268711,4.12970153,0.00231310,0.00231310,0.00322855,0.01551819,0.08652460,0.00231244,0.00231244,0.00322729,0.01550948,0.08648214
268811,4.12973077,0.00231245,0.00231245,0.00322767,0.01551015,0.08650014,0.00231179,0.00231179,0.00322640,0.01550144,0.08645771
268911,4.12974849,0.00231181,0.00231181,0.00322678,0.01550222,0.08647603,0.00231114,0.00231114,0.00322551,0.01549350,0.08643347
269011,4.12976184,0.00231115,0.00231115,0.00322585,0.01549459,0.08645162,0.00231049,0.00231049,0.00322458,0.01548587,0.08640910
269111,4.12979890,0.00231050,0.00231050,0.00322495,0.01548676,0.08642715,0.00230983,0.00230983,0.00322368,0.01547805,0.08638465
269211,4.12978409,0.00230985,0.00230985,0.00322405,0.01547899,0.08640338,0.00230919,0.00230919,0.00322279,0.01547029,0.08636092
269311,4.12975862,0.00230920,0.00230920,0.00322316,0.01547106,0.08637927,0.00230854,0.00230854,0.00322189,0.01546237,0.08633684
269411,4.12977465,0.00230855,0.00230855,0.00322229,0.01546331,0.08635485,0.00230788,0.00230788,0.00322103,0.01545463,0.08631246
269511,4.12974436,0.00230791,0.00230791,0.00322138,0.01545592,0.08633173,0.00230725,0.00230725,0.00322012,0.01544725,0.08628938
269611,4.12975937,0.00230727,0.00230727,0.00322050,0.01544827,0.08630762,0.00230661,0.00230661,0.00321924,0.01543960,0.08626530
