,mae_copy,loss,nmse_train,nmse,mse,mae,lossv,nmse_test,nmsev,msev,maev
6100,3.84313784,0.02273710,0.02273710,0.02943773,4.30888073,0.70439038,0.02264240,0.02264240,0.02929442,4.30921135,0.70008372
6200,3.84304737,0.02260999,0.02260999,0.02931994,4.24812314,0.70260493,0.02251394,0.02251394,0.02917466,4.24829813,0.69823374
6300,3.84280033,0.02246348,0.02246348,0.02917504,4.18743280,0.69996122,0.02236735,0.02236735,0.02902943,4.18751347,0.69557854
6400,3.84227609,0.02230613,0.02230613,0.02900782,4.12755696,0.69668500,0.02220951,0.02220951,0.02886133,4.12755601,0.69229483
6500,3.84282043,0.02214859,0.02214859,0.02883527,4.06914908,0.69337807,0.02205341,0.02205341,0.02869095,4.06914686,0.68905306
6600,3.84372445,0.02198771,0.02198771,0.02865554,4.01208297,0.68984955,0.02189225,0.02189225,0.02851009,4.01198460,0.68548869
6700,3.84308971,0.02182710,0.02182710,0.02847245,3.95633087,0.68617352,0.02173313,0.02173313,0.02832926,3.95623673,0.68188065
6800,3.84377289,0.02166783,0.02166783,0.02829645,3.90243873,0.68237982,0.02157508,0.02157508,0.02815511,3.90233820,0.67814119
6900,3.84423268,0.02150997,0.02150997,0.02811635,3.84959769,0.67864036,0.02141713,0.02141713,0.02797495,3.84944323,0.67440115
7000,3.84434295,0.02135188,0.02135188,0.02793092,3.79798171,0.67478851,0.02125909,0.02125909,0.02778910,3.79777424,0.67053537
7100,3.84436925,0.02119544,0.02119544,0.02774566,3.74765809,0.67090234,0.02110150,0.02110150,0.02760146,3.74736602,0.66657667
7200,3.84447725,0.02104070,0.02104070,0.02756084,3.69857092,0.66701882,0.02094770,0.02094770,0.02741794,3.69826491,0.66272821
7300,3.84450325,0.02088626,0.02088626,0.02737721,3.65069302,0.66308590,0.02079392,0.02079392,0.02723536,3.65037164,0.65882804
7400,3.84415700,0.02073587,0.02073587,0.02719651,3.60409271,0.65928177,0.02064488,0.02064488,0.02705674,3.60377748,0.65508582
7500,3.84498224,0.02058708,0.02058708,0.02701715,3.55863919,0.65541451,0.02049735,0.02049735,0.02687932,3.55832834,0.65127614
7600,3.84490779,0.02044042,0.02044042,0.02683971,3.51423525,0.65158844,0.02035062,0.02035062,0.02670177,3.51389108,0.64744336
7700,3.84490190,0.02029522,0.02029522,0.02666247,3.47094389,0.64774336,0.02020615,0.02020615,0.02652549,3.47060600,0.64364011
7800,3.84526427,0.02015312,0.02015312,0.02648863,3.42868424,0.64395482,0.02006520,0.02006520,0.02635339,3.42835045,0.63990405
7900,3.84555332,0.02001414,0.02001414,0.02631898,3.38749117,0.64025504,0.01992742,0.01992742,0.02618558,3.38716459,0.63625968
8000,3.84523727,0.01987673,0.01987673,0.02615011,3.34718838,0.63655205,0.01978992,0.01978992,0.02601633,3.34682938,0.63254254
8100,3.84539214,0.01974137,0.01974137,0.02598350,3.30786390,0.63290941,0.01965510,0.01965510,0.02584992,3.30749036,0.62890903
8200,3.84475955,0.01960907,0.01960907,0.02581993,3.26945157,0.62930289,0.01952342,0.01952342,0.02568703,3.26906746,0.62532518
8300,3.84450291,0.01947751,0.01947751,0.02565779,3.23193518,0.62568444,0.01939189,0.01939189,0.02552507,3.23153449,0.62171441
8400,3.84522145,0.01934914,0.01934914,0.02549797,3.19526588,0.62211381,0.01926275,0.01926275,0.02536339,3.19480946,0.61808410
8500,3.84556836,0.01922419,0.01922419,0.02534266,3.15948736,0.61870226,0.01913888,0.01913888,0.02520976,3.15903753,0.61472263
8600,3.84506773,0.01910074,0.01910074,0.02518970,3.12449269,0.61526019,0.01901573,0.01901573,0.02505695,3.12402326,0.61128481
8700,3.84532568,0.01897975,0.01897975,0.02503856,3.09029834,0.61195106,0.01889573,0.01889573,0.02490737,3.08983398,0.60802183
8800,3.84565160,0.01886029,0.01886029,0.02489110,3.05684869,0.60866093,0.01877680,0.01877680,0.02476030,3.05636673,0.60473575
8900,3.84580528,0.01874325,0.01874325,0.02474661,3.02412105,0.60539190,0.01865972,0.01865972,0.02461570,3.02361366,0.60146068
9000,3.84635312,0.01862845,0.01862845,0.02460262,2.99212058,0.60224388,0.01854587,0.01854587,0.02447320,2.99161966,0.59835739
9100,3.84651439,0.01851514,0.01851514,0.02446116,2.96078221,0.59909978,0.01843356,0.01843356,0.02433328,2.96028945,0.59526003
9200,3.84598978,0.01840379,0.01840379,0.02432238,2.93010078,0.59601055,0.01832314,0.01832314,0.02419597,2.92961409,0.59221393
9300,3.84632064,0.01829479,0.01829479,0.02418657,2.90008779,0.59297418,0.01821411,0.01821411,0.02405980,2.89956800,0.58914664
9400,3.84643182,0.01818742,0.01818742,0.02405151,2.87067030,0.58997722,0.01810759,0.01810759,0.02392608,2.87015540,0.58619007
9500,3.84635280,0.01808309,0.01808309,0.02392026,2.84192390,0.58701755,0.01800322,0.01800322,0.02379488,2.84139414,0.58323823
9600,3.84667527,0.01798012,0.01798012,0.02379233,2.81373671,0.58418740,0.01790110,0.01790110,0.02366829,2.81321237,0.58044734
9700,3.84714913,0.01787836,0.01787836,0.02366556,2.78607929,0.58134666,0.01779985,0.01779985,0.02354215,2.78554681,0.57762253
9800,3.84741148,0.01777880,0.01777880,0.02353973,2.75899233,0.57855960,0.01770080,0.01770080,0.02341707,2.75845682,0.57485650
