,mae_copy,loss,nmse_train,nmse,mse,mae,lossv,nmse_test,nmsev,msev,maev
14359,3.85246618,0.01005272,0.01005272,0.01378023,1.25338271,0.34628206,0.00998319,0.00998319,0.01366355,1.21345425,0.34385310
14459,3.85401059,0.00994405,0.00994405,0.01363336,1.21200116,0.34323080,0.00987533,0.00987533,0.01351850,1.17347206,0.34082395
14559,3.85268717,0.00984192,0.00984192,0.01349873,1.17350913,0.34051344,0.00977470,0.00977470,0.01338622,1.13628620,0.33814179
14659,3.85083931,0.00974605,0.00974605,0.01337130,1.13748990,0.33782425,0.00968028,0.00968028,0.01326153,1.10147655,0.33546969
14759,3.85142761,0.00965391,0.00965391,0.01324792,1.10379254,0.33525752,0.00958975,0.00958975,0.01314010,1.06892372,0.33293533
14859,3.85100141,0.00957124,0.00957124,0.01313599,1.07220738,0.33309454,0.00950744,0.00950744,0.01302859,1.03838193,0.33074919
14959,3.85011340,0.00948987,0.00948987,0.01302579,1.04245948,0.33082466,0.00942693,0.00942693,0.01292015,1.00962673,0.32849755
15059,3.85046866,0.00941250,0.00941250,0.01292206,1.01451033,0.32868240,0.00935018,0.00935018,0.01281765,0.98260987,0.32636409
15159,3.85034087,0.00933935,0.00933935,0.01282647,0.98818891,0.32671181,0.00927599,0.00927599,0.01272018,0.95712482,0.32431537
15259,3.85137874,0.00926820,0.00926820,0.01272802,0.96316222,0.32467155,0.00920663,0.00920663,0.01262473,0.93296053,0.32234296
15359,3.85123460,0.00920149,0.00920149,0.01263705,0.93955555,0.32285038,0.00914033,0.00914033,0.01253467,0.91013574,0.32051670
15459,3.85012125,0.00913710,0.00913710,0.01254897,0.91712176,0.32099271,0.00907718,0.00907718,0.01244838,0.88846176,0.31868921
15559,3.85010289,0.00907640,0.00907640,0.01246702,0.89587337,0.31930353,0.00901795,0.00901795,0.01236889,0.86794568,0.31705601
15659,3.84969684,0.00901738,0.00901738,0.01238613,0.87563957,0.31761875,0.00895910,0.00895910,0.01228805,0.84836938,0.31534344
15759,3.84946519,0.00896199,0.00896199,0.01230931,0.85639106,0.31610683,0.00890411,0.00890411,0.01221233,0.82976495,0.31384403
15859,3.85055796,0.00890757,0.00890757,0.01223639,0.83808774,0.31452502,0.00885031,0.00885031,0.01214045,0.81207545,0.31228091
15959,3.85160487,0.00885456,0.00885456,0.01216388,0.82056482,0.31285313,0.00879790,0.00879790,0.01206858,0.79513589,0.31059073
16059,3.85126560,0.00880515,0.00880515,0.01209708,0.80392020,0.31150917,0.00874931,0.00874931,0.01200354,0.77906037,0.30928309
16159,3.85101952,0.00875725,0.00875725,0.01203074,0.78796700,0.31011448,0.00870184,0.00870184,0.01193757,0.76363475,0.30788467
16259,3.85154435,0.00871130,0.00871130,0.01196767,0.77268086,0.30878147,0.00865653,0.00865653,0.01187527,0.74886104,0.30656546
16359,3.85173183,0.00866759,0.00866759,0.01190716,0.75805282,0.30755813,0.00861398,0.00861398,0.01181673,0.73473859,0.30538916
16459,3.85133853,0.00862335,0.00862335,0.01184718,0.74397294,0.30615684,0.00857080,0.00857080,0.01175862,0.72114350,0.30402565
16559,3.85114838,0.00858208,0.00858208,0.01179083,0.73048614,0.30499635,0.00852973,0.00852973,0.01170270,0.70810008,0.30286139
16659,3.85156506,0.00854192,0.00854192,0.01173629,0.71755107,0.30385683,0.00849057,0.00849057,0.01164919,0.69560916,0.30174519
16759,3.85133515,0.00850263,0.00850263,0.01168192,0.70509142,0.30267149,0.00845158,0.00845158,0.01159488,0.68356370,0.30055489
16859,3.85145445,0.00846400,0.00846400,0.01162765,0.69308068,0.30152139,0.00841337,0.00841337,0.01154150,0.67195398,0.29942069
